# time[us], force_in1[N], force_in2[N], force_out1[N], force_out2[N]
-9.994555026551913670e+02 3.974103381911146204e+00 -2.170290585989118881e+01 6.358008797159403258e+00 5.473400052371854230e+00
-9.984554721357503695e+02 5.953646749083966405e+00 -2.073922729508582474e+00 -1.250344728600975230e+00 3.672636948088972453e+00
-9.974554416163095993e+02 1.285969992062619482e+01 2.306723600972766519e+01 -1.609905007484080031e+01 5.668373511902854212e+00
-9.964554110968688292e+02 1.701203253007540184e+01 2.777168044843345562e+00 -2.131456388423009218e-01 3.086780482927800495e+00
-9.954553805774278317e+02 1.840945088294283849e+01 -3.917772425083970500e+00 4.236562118436425273e+00 -8.063214086519614909e+00
-9.944553500579868341e+02 5.953646749083966405e+00 -1.061243211996308666e+01 1.907874618435233538e+00 -9.471890645300737432e+00
-9.934553195385460640e+02 8.126568624085077630e+00 -5.601439959645554190e+00 -2.957594045727676146e+00 -9.471756918648885915e+00
-9.924552890191052938e+02 5.953646749083966405e+00 1.093079347715706806e+00 -2.957736186205119466e+00 -4.894026145898176416e+00
-9.914552584996642963e+02 1.413363429485190670e+00 1.530464844563820037e+01 -1.755513716206849040e+01 1.286686011906839289e+00
-9.904552279802232988e+02 4.559013683368789316e+00 5.933781445542144262e+00 -1.251625711109548256e+01 -1.100334737499706117e+00
-9.894551974607825287e+02 1.406121974395817098e+01 -1.586362732803004683e+01 9.344664583644883393e+00 -3.291312214152956717e+00
-9.884551669413417585e+02 3.975562341846256231e+00 1.908093236227401590e+01 -3.535112538156397477e+01 -9.863977190805057305e+00
-9.874551364219007610e+02 1.266738247456925137e+01 7.993687535319494941e+00 -1.588583935336446551e+01 -1.205495466745646915e+01
-9.864551059024597635e+02 1.247241237408421455e+01 8.848226373213700313e+00 -4.450921938967320912e+00 -1.365579642606318700e+01
-9.854550753830189933e+02 1.681825612408334791e+01 -1.270575043964008799e+01 1.164108619446043846e+01 -5.088999605428457862e+00
-9.844550448635782232e+02 9.908754501785226765e+00 6.728094037103542036e+00 2.770951618989957232e+00 -5.101990194541711210e-01
-9.834550143441372256e+02 5.953646749083966405e+00 1.657333046930720499e+01 -1.439293788156317788e+01 7.859217261903975071e+00
-9.824549838246962281e+02 3.780724874082854736e+00 1.468722413003678184e+01 -1.567333933428409587e+01 5.471126699276688043e+00
-9.814549533052554580e+02 8.322334520898904131e+00 -2.863040982810078905e+00 2.158637136811739410e+01 1.089305472628262939e+00
-9.804549227858146878e+02 7.538873035481104878e+00 -1.376090304447646595e+01 1.631921370469001786e+01 -5.483359504027228937e+00
-9.794548922663736903e+02 -2.345978426401257089e+00 1.734931091900597799e+00 -3.817686096177978605e+00 -7.081393002929980085e+00
-9.784548617469326928e+02 7.734241034128205072e+00 -1.083606944027641639e+01 4.673217676023394773e+00 -3.688346645805995028e+00
-9.774548312274919226e+02 2.000395854483552505e+00 2.075603625808171060e+01 -2.011679291040455553e+01 -1.166046104220485269e+01
-9.764548007080511525e+02 1.266884143450463895e+01 -4.544181541998763230e+00 1.185415477545750562e+01 -5.087796065555306058e+00
-9.754547701886101549e+02 5.167399976514896132e+00 -1.019632350890301886e+01 5.511988654328777493e+00 -7.059748388999382840e-01
-9.744547396691691574e+02 -4.517573974187195418e+00 -3.712525869966094128e+00 -2.538706048260436887e+00 3.477529761904846861e+00
-9.734547091497283873e+02 2.001456916252092544e+00 3.395715460605550629e+00 -2.327627433993110007e+00 3.675980114404163057e+00
-9.724546786302876171e+02 1.010253090778009089e+01 1.304362566218884467e+00 1.063560161381573721e+00 5.866957591054582366e+00
-9.714546481108466196e+02 5.953646749083966405e+00 1.468722413003678184e+01 -1.164180887207363035e+01 9.851343206100240835e+00
-9.704546175914056221e+02 1.213353285585262009e+00 7.369805393769401469e+00 3.176051989801735420e+00 1.024891254436307619e+01
-9.694545870719648519e+02 -2.738040750914304766e+00 -1.412557119964917396e+00 2.180853693989759989e+01 9.453105234575049920e+00
-9.684545565525240818e+02 -5.108452748107190189e+00 5.905423166382773204e+00 -5.713129410129520025e+00 -7.476688988094529975e+00
-9.674545260330830843e+02 -4.318094361174638962e+00 5.068994318645667185e+00 -1.185246106489551821e+01 1.685191436734173154e+00
-9.664544955136420867e+02 3.780724874082854736e+00 -4.340479249610860180e+00 2.119806075589837135e+00 5.468987072834646135e+00
-9.654544649942013166e+02 1.014138938015542113e+00 -9.984057577754818169e+00 -1.312461836972044438e+01 -3.294521653816022688e+00
