# time[us], force_in1[N], force_in2[N], force_out1[N], force_out2[N]
-2.457500000000000000e+03 -9.002231157292110098e+00 1.175237352092459808e+01 -1.102134224444736077e+01 2.543279350246260506e+00
-2.456499969480559230e+03 -2.725309548905948898e+00 5.878164354869181096e+00 -9.962189621736612821e+00 4.919547762076954989e+00
-2.455499938961118460e+03 2.004756028545538804e+00 1.317902411268218721e+00 -8.631691340805614843e+00 7.062633490453780638e+00
-2.454499908441677235e+03 4.128057397109758497e+00 -1.109076920442344294e+00 -6.805916581194096260e+00 8.733425930470671616e+00
-2.453499877922236465e+03 3.375805446715886227e+00 -1.334578235417828385e+00 -4.430996840805041970e+00 9.689159600098024683e+00
-2.452499847402795695e+03 2.621199851069432873e-01 5.867415693472988192e-02 -1.674744840180498517e+00 9.730656969870654649e+00
-2.451499816883354470e+03 -4.170036481805768247e+00 2.187939018913418465e+00 1.113223745219160676e+00 8.770445791400288016e+00
-2.450499786363913699e+03 -8.702368056785045880e+00 4.248943693883266981e+00 3.537380387426936945e+00 6.888830682478007894e+00
-2.449499755844472929e+03 -1.225081452053991526e+01 5.727861934469411054e+00 5.321188717520761280e+00 4.343193490301899828e+00
-2.448499725325032159e+03 -1.405547592679030444e+01 6.398483195043202620e+00 6.406548852183314047e+00 1.512161251108670834e+00
-2.447499694805591389e+03 -1.375048712633529924e+01 6.201188813961924673e+00 6.936637458665878775e+00 -1.209252669067815589e+00
-2.446499664286150164e+03 -1.135643109194420042e+01 5.141034126872499499e+00 7.150849559659136823e+00 -3.514531180247561615e+00
-2.445499633766709394e+03 -7.241473698488262833e+00 3.279109484453842427e+00 7.267355632106518470e+00 -5.238287331701492633e+00
-2.444499603247268624e+03 -2.071964705878156288e+00 7.998691019702155458e-01 7.408758738063142779e+00 -6.337156569520705496e+00
-2.443499572727827399e+03 3.262435997242405961e+00 -1.922970930089879182e+00 7.581021695069265931e+00 -6.826010208380319355e+00
-2.442499542208386629e+03 7.780586075227051701e+00 -4.346609855082833818e+00 7.695702925270082595e+00 -6.724040472901353205e+00
-2.441499511688945859e+03 1.060596060534757612e+01 -5.900006173339057192e+00 7.621899764317039860e+00 -6.050822705765807719e+00
-2.440499481169505088e+03 1.118453109121777445e+01 -6.196393046020395090e+00 7.242773305381378535e+00 -4.863863982981296630e+00
-2.439499450650064318e+03 9.447726800955523530e+00 -5.206000316616284707e+00 6.485288434329307350e+00 -3.291026574126706183e+00
-2.438499420130623093e+03 5.850842213424996885e+00 -3.283257946377322600e+00 5.310776675120498780e+00 -1.524605045090323685e+00
-2.437499389611182323e+03 1.260378732756460174e+00 -1.023515226218967733e+00 3.690024581949960858e+00 2.094393965755007025e-01
-2.436499359091741553e+03 -3.278152871882900943e+00 9.680319725195801750e-01 1.609207849458981876e+00 1.675072942199809178e+00
-2.435499328572300328e+03 -6.813858090339604878e+00 2.265133065536469648e+00 -8.709927355305594476e-01 2.641664673741105585e+00
-2.434499298052859558e+03 -8.715295551747264113e+00 2.693951125393226675e+00 -3.543259110459997085e+00 2.921786955798448382e+00
-2.433499267533418788e+03 -8.784408311295038629e+00 2.314119953957403553e+00 -6.041905804410564684e+00 2.445484361743884172e+00
-2.432499237013978018e+03 -7.247882943652965260e+00 1.361246325347434283e+00 -7.920450827758444667e+00 1.338101854173467720e+00
-2.431499206494537248e+03 -4.655756048462168728e+00 1.618155670452124661e-01 -8.774998490055361700e+00 -5.785560457531287171e-02
-2.430499175975096023e+03 -1.729521901445566279e+00 -9.959861900610159635e-01 -8.352613888910692452e+00 -1.257416890201401571e+00
-2.429499145455655253e+03 8.065646293665662547e-01 -2.009869340255974191e+00 -6.620320101995220696e+00 -1.792226828790093540e+00
-2.428499114936214482e+03 2.385422357077342514e+00 -3.045165023918045666e+00 -3.797505951858427320e+00 -1.385833093603868083e+00
-2.427499084416773258e+03 2.721265919889981788e+00 -4.472070801844467702e+00 -3.495716695809460428e-01 -5.563236725021727253e-02
-2.426499053897332487e+03 1.866612111234949634e+00 -6.660229725748643581e+00 3.071702699086933386e+00 1.910184623778398816e+00
-2.425499023377891717e+03 1.768042022388106316e-01 -9.727497501648139533e+00 5.753501240008429107e+00 4.075859632587460979e+00
-2.424498992858450947e+03 -1.817600804297538675e+00 -1.337890294933970203e+01 7.099827860382825762e+00 6.002870944759734151e+00
-2.423498962339010177e+03 -3.591663929913708309e+00 -1.692828477796119202e+01 6.810477565544299949e+00 7.349884611938590773e+00
-2.422498931819568952e+03 -4.795042982304625667e+00 -1.950201324121887581e+01 4.994824306876558317e+00 7.916862057658087259e+00
-2.421498901300128182e+03 -5.350014117725493179e+00 -2.033789423797355767e+01 2.174588513485000707e+00 7.660989271984693261e+00
-2.420498870780687412e+03 -5.450445828766410372e+00 -1.905065803192752583e+01 -8.412317197340960506e-01 6.705156999668632878e+00
-2.419498840261246187e+03 -5.466811562901216170e+00 -1.575618955838183410e+01 -3.192639748588280479e+00 5.330679320004040989e+00
-2.418498809741805417e+03 -5.785325426005154092e+00 -1.102135125929752846e+01 -4.245863679542500435e+00 3.931318303460535901e+00
-2.417498779222364647e+03 -6.627081969005456763e+00 -5.686521159052601249e+00 -3.799286033316795486e+00 2.918871585567663018e+00
-2.416498748702923876e+03 -7.909602300770557370e+00 -6.450551299524919235e-01 -2.126157617883765560e+00 2.600713082676221699e+00
-2.415498718183483106e+03 -9.217311474621796563e+00 3.346967536882102134e+00 1.632593842017734387e-01 3.074062426110727220e+00
-2.414498687664041881e+03 -9.922170039554831789e+00 5.795028552853885628e+00 2.375549741682078331e+00 4.180756686603897876e+00
-2.413498657144601111e+03 -9.434897016088445554e+00 6.528404214248174853e+00 3.986483577738002548e+00 5.541061442202610543e+00
-2.412498626625160341e+03 -7.489667914569301921e+00 5.715756143075561901e+00 4.780080904238563022e+00 6.656416231391132143e+00
-2.411498596105719116e+03 -4.320778604041047188e+00 3.829549780742553367e+00 4.831354340307434825e+00 7.053201402090372163e+00
-2.410498565586278346e+03 -6.287379001012495250e-01 1.545944253806367907e+00 4.370110975676728238e+00 6.427530773207806192e+00
-2.409498535066837576e+03 2.655930948197411823e+00 -4.086388018311284398e-01 3.606696208746092758e+00 4.741524414120100950e+00
-2.408498504547396806e+03 4.699797022121736667e+00 -1.430870086995610579e+00 2.611854692166428737e+00 2.229258422006962892e+00
-2.407498474027956036e+03 5.046096432760919015e+00 -1.198229185510927275e+00 1.321382012698943065e+00 -6.931106596424509991e-01
-2.406498443508514811e+03 3.752790480379536664e+00 2.358757164590833399e-01 -3.403944619348032719e-01 -3.571783917895605232e+00
-2.405498412989074041e+03 1.361221353709997972e+00 2.466630208711614536e+00 -2.316401290770128796e+00 -6.049462555103645833e+00
-2.404498382469633270e+03 -1.281563943243707815e+00 4.893545770660430172e+00 -4.368667136142884821e+00 -7.937152242026510152e+00
-2.403498351950192045e+03 -3.291019534134064006e+00 6.931935293099395601e+00 -6.167787390933878733e+00 -9.204894770676848026e+00
-2.402498321430751275e+03 -4.022096821313787096e+00 8.165055338364084037e+00 -7.458254767032268084e+00 -9.905746915335143399e+00
