# time[us], force_in[kN], force_out[kN], force_avg[kN]
-1.638000000000000000e+03 -1.610819146825387058e-02 -2.547772664835231803e-03 -9.327982066544551407e-03
-1.636999969480559230e+03 -1.579049427260909716e-02 -1.613741414835196493e-03 -8.702117843722146501e-03
-1.635999938961118232e+03 -1.531391454438477649e-02 -1.769470302058201786e-03 -8.541692423221489139e-03
-1.634999908441677235e+03 -1.467862680518859653e-02 -2.547772664835231803e-03 -8.613199735011914382e-03
-1.633999877922236465e+03 -1.499632400083348444e-02 -2.703406531686510569e-03 -8.849865266259996852e-03
-1.632999847402795695e+03 -1.515508049002971952e-02 -2.080662019463447830e-03 -8.617871254746584109e-03
-1.631999816883354697e+03 -1.499634339212323544e-02 -1.769413289835165479e-03 -8.382878340979199594e-03
-1.630999786363913699e+03 -1.547295220728233354e-02 -1.769679346876141873e-03 -8.621315777079236950e-03
-1.629999755844472929e+03 -1.547266133793598689e-02 -2.703216490943056213e-03 -9.087938914439520899e-03
-1.628999725325032159e+03 -1.531379819664633983e-02 -1.769327771500646580e-03 -8.541562984073493639e-03
-1.627999694805591162e+03 -1.451975396825396468e-02 -1.769508310206892006e-03 -8.144631139230428668e-03
-1.626999664286150164e+03 -1.483765477244135267e-02 -2.081070607061907655e-03 -8.459362689751630596e-03
-1.625999633766709394e+03 -1.515524531599257187e-02 -2.859002390389097162e-03 -9.007123853190834514e-03
-1.624999603247268624e+03 -1.515512896825395132e-02 -2.547649138352021600e-03 -8.851389053302986462e-03
-1.623999572727827626e+03 -1.531370124019751019e-02 -2.080490982794267786e-03 -8.697096111495888557e-03
-1.622999542208386629e+03 -1.483773233760024741e-02 -1.458069539835226422e-03 -8.147900938717736810e-03
-1.621999511688945859e+03 -1.515497383793593979e-02 -1.613893447429958460e-03 -8.384433642682948690e-03
-1.620999481169505088e+03 -1.547298129421685424e-02 -1.925085164835134031e-03 -8.699033229525993810e-03
-1.619999450650064091e+03 -1.515477992503842450e-02 -2.080928076504211504e-03 -8.617854000771318218e-03
-1.618999420130623093e+03 -1.467859771825393532e-02 -2.236428914835072220e-03 -8.457513316544503987e-03
-1.617999389611182323e+03 -1.483763538115141778e-02 -2.080566999091649962e-03 -8.459101190121533220e-03
-1.616999359091741553e+03 -1.515512896825406582e-02 -1.613342329274014119e-03 -8.384235648764039317e-03
-1.615999328572300556e+03 -1.531439932662856905e-02 -1.302606709653056144e-03 -8.308503018140811838e-03
-1.614999298052859558e+03 -1.563121421858961260e-02 -1.457850992980219652e-03 -8.544532605784915802e-03
-1.613999267533418788e+03 -1.499512174086888895e-02 -1.458525637619514925e-03 -8.226823689244201071e-03
-1.612999237013978018e+03 -1.372529282713203826e-02 -2.081232141693666483e-03 -7.903262484412853020e-03
-1.611999206494537020e+03 -1.356744772855423761e-02 -2.235687755935714290e-03 -7.901567742244975517e-03
-1.610999175975096023e+03 -1.436064843584231379e-02 -1.769926399842560545e-03 -8.065287417842436843e-03
-1.609999145455655253e+03 -1.436199613047996898e-02 -2.081023096875938248e-03 -8.221509613677954048e-03
-1.608999114936214482e+03 -1.531341037085130578e-02 -2.391274112601235284e-03 -8.852342241726270100e-03
-1.607999084416773485e+03 -1.436091021825399404e-02 -1.457214356489686374e-03 -7.909062287371839556e-03
-1.606999053897332487e+03 -1.452005453324514694e-02 -6.794156016827727776e-04 -7.599735067463959590e-03
-1.605999023377891717e+03 -1.467797719698187876e-02 -3.680623496456971616e-04 -7.523019773313787718e-03
-1.604998992858450947e+03 -1.404322271825394174e-02 -3.693071165151012576e-04 -7.206264917384521199e-03
-1.603998962339009950e+03 -1.436091021825399230e-02 -9.907308455712282667e-04 -7.675820531912610177e-03
-1.602998931819568952e+03 -1.388370027311259559e-02 -9.920516287384470271e-04 -7.437875950925521527e-03
-1.601998901300128182e+03 -1.356738955468498112e-02 -1.769755363173382019e-03 -7.668572458929181351e-03
-1.600998870780687412e+03 -1.404358145711430937e-02 -1.768710139084458521e-03 -7.906145798099383296e-03
-1.599998840261246414e+03 -1.452012240275924078e-02 -1.458430617247788831e-03 -7.989276510003515130e-03
-1.598998809741805417e+03 -1.467859771825392838e-02 -1.925826323734674324e-03 -8.302212020994301570e-03
-1.597998779222364647e+03 -1.467859771825392838e-02 -2.080757039835103885e-03 -8.379677379044516566e-03
-1.596998748702923876e+03 -1.467820019681405873e-02 -2.392490373359197012e-03 -8.535345285086627654e-03
-1.595998718183482879e+03 -1.436050300116920898e-02 -2.391701704273899599e-03 -8.376102352721554942e-03
-1.594998687664041881e+03 -1.436091021825399230e-02 -2.236428914835072220e-03 -8.298669566544531612e-03
-1.593998657144601111e+03 -1.420249307662855599e-02 -2.080338950199505602e-03 -8.141416013414030581e-03
-1.592998626625160341e+03 -1.467903402227330178e-02 -1.924657573162399243e-03 -8.301845797717850514e-03
-1.591998596105719344e+03 -1.483744146825389382e-02 -1.613741414835195625e-03 -8.225591441544544830e-03
-1.590998565586278346e+03 -1.515558466356314339e-02 -1.613294819088044495e-03 -8.384439741325593401e-03
-1.589998535066837576e+03 -1.531350732729998970e-02 -1.302853762619545722e-03 -8.308180544959768363e-03
-1.588998504547396806e+03 -1.499676030485285264e-02 -1.613741414835195625e-03 -8.305250859844024239e-03
-1.587998474027955808e+03 -1.531397271825402431e-02 -1.301447461117879187e-03 -8.307710089685952509e-03
-1.586998443508514811e+03 -1.531545615192012912e-02 -8.348974359392875161e-04 -8.075176793929708316e-03
-1.585998412989074041e+03 -1.610768729472032354e-02 -8.358761457681084580e-04 -8.471781720244216107e-03
-1.584998382469633270e+03 -1.578999009907554665e-02 -9.910539148350982867e-04 -8.390522006955322687e-03
-1.583998351950192273e+03 -1.531344915343072974e-02 -9.910539148350982867e-04 -8.152251534132914229e-03
-1.582998321430751275e+03 -1.515566222872226018e-02 -1.146725789835178078e-03 -8.151194009278718913e-03
-1.581998290911310505e+03 -1.531342976214098046e-02 -9.910539148350982867e-04 -8.152241838488038725e-03
-1.580998260391869735e+03 -1.515457631649617075e-02 -1.147809022072792664e-03 -8.151192669284481815e-03
