# time[us], force_in[kN], force_out[kN], force_avg[kN]
-1.638000000000000000e+03 5.356855158730412705e-04 -1.969182692307365555e-04 1.693836233211523440e-04
-1.636999969480559230e+03 2.180077115179420463e-04 4.257882348435261055e-04 3.218979731807340488e-04
-1.635999938961118232e+03 6.945486571627621604e-04 7.371129807692995955e-04 7.158308189660308237e-04
-1.634999908441677235e+03 6.944710920036836418e-04 4.257122185461446884e-04 5.600916552749141651e-04
-1.633999877922236465e+03 2.179980158731023750e-04 2.701733720665515761e-04 2.440856939698269755e-04
-1.632999847402795695e+03 5.915426587302274517e-05 7.371129807692995955e-04 3.981336233211611839e-04
-1.631999816883354697e+03 5.915426587302274517e-05 5.814411057692181776e-04 3.202976858211204749e-04
-1.630999786363913699e+03 5.922213538718933704e-05 7.370464665090553343e-04 3.981343009481223458e-04
-1.629999755844472929e+03 3.769193310320780249e-04 2.700213394717887417e-04 3.234703352519333833e-04
-1.628999725325032159e+03 8.532857550691341298e-04 1.143399624346848087e-04 4.838128587519094489e-04
-1.627999694805591162e+03 5.355885594242834093e-04 1.146155215126536044e-04 3.251020404684684933e-04
-1.626999664286150164e+03 3.770550700604112493e-04 2.700973557691701047e-04 3.235762129147906770e-04
-1.625999633766709394e+03 1.171176863611538520e-03 4.256552063230646882e-04 7.984160349673015498e-04
-1.624999603247268624e+03 1.171060515872912123e-03 1.144254807692034767e-04 6.427429983210578403e-04
-1.623999572727827626e+03 1.329768526844734124e-03 1.144254807692034767e-04 7.220970038069688410e-04
-1.622999542208386629e+03 8.533730158729800576e-04 1.142829502115779610e-04 4.838279830422790228e-04
-1.621999511688945859e+03 1.330214526509023798e-03 -1.966142040412109410e-04 5.668001612339064422e-04
-1.620999481169505088e+03 1.329244962021586349e-03 5.817641750330184835e-04 9.555045685273024164e-04
-1.619999450650064091e+03 -2.592313205579725396e-04 8.922717457619450728e-04 3.165202126019862937e-04
-1.618999420130623093e+03 -7.345118323689617083e-04 -1.974598853496853639e-04 -4.659858588593235361e-04
-1.617999389611182323e+03 -9.988339702457252572e-05 -6.635538127438475858e-04 -3.817186048842100693e-04
-1.616999359091741553e+03 -7.354717012117003780e-04 -1.969182692307365555e-04 -4.661949852212184803e-04
-1.615999328572300556e+03 -8.939082341269591466e-04 -4.103734941296768960e-05 -4.674727917699634215e-04
-1.614999298052859558e+03 -8.934622344626008423e-04 1.146440276242103961e-04 -3.894091034191952028e-04
-1.613999267533418788e+03 -4.173769841269957259e-04 2.696412579848817643e-04 -7.386786307105698080e-05
-1.612999237013978018e+03 -2.578060607614509020e-04 -1.969182692307365555e-04 -2.273621649960937152e-04
-1.611999206494537020e+03 2.174938423394513363e-04 -4.050523533129771523e-05 8.849430350407680717e-05
-1.610999175975096023e+03 -2.582714517153438622e-04 7.371129807692995955e-04 2.394207645269778666e-04
-1.609999145455655253e+03 3.773847219861155636e-04 5.809089916875481490e-04 4.791468568368318563e-04
-1.608999114936214482e+03 5.351231684703181869e-04 1.144254807692034767e-04 3.247743246197608183e-04
-1.607999084416773485e+03 5.944513521929620004e-05 1.149956029995641732e-04 8.722036910943019002e-05
-1.606999053897332487e+03 5.356855158730412705e-04 8.927848557692696658e-04 7.142351858211554681e-04
-1.605999023377891717e+03 2.176877552369671401e-04 5.808329753901667319e-04 3.992603653135669631e-04
-1.604998992858450947e+03 2.179980158731023750e-04 -1.969182692307365555e-04 1.053987332118290975e-05
-1.603998962339009950e+03 5.816531009569277230e-05 -4.189253275850843619e-05 8.136388668592168052e-06
-1.602998931819568952e+03 -7.350644841269346214e-04 -5.082620192306766147e-04 -6.216632516788055639e-04
-1.601998901300128182e+03 -7.354135273424628567e-04 -5.089461659071094777e-04 -6.221798466247861672e-04
-1.600998870780687412e+03 -1.211954472987317394e-03 -1.130246368480065369e-03 -1.171100420733691382e-03
-1.599998840261246414e+03 -1.052015115116365553e-03 -1.961961144056132550e-04 -6.241056147609894177e-04
-1.598998809741805417e+03 -5.754644738265819520e-04 1.140549013194337637e-04 -2.307047862535741077e-04
-1.597998779222364647e+03 5.915426587302274517e-05 -4.162647571767353710e-05 8.763895077674604034e-06
-1.596998748702923876e+03 2.187930587527343168e-04 -6.643234777547991302e-04 -2.227652095010323931e-04
-1.595998718183482879e+03 5.356855158730412705e-04 -8.192066836695799902e-04 -1.417605838982693598e-04
-1.594998687664041881e+03 3.760079404136820193e-04 -8.208315320261061693e-04 -2.224117958062120750e-04
-1.593998657144601111e+03 6.000748262209184381e-05 -1.754055108866358877e-03 -8.470238131221335606e-04
-1.592998626625160341e+03 8.533730158729765881e-04 -1.441438085885350662e-03 -2.940325350061870368e-04
-1.591998596105719344e+03 6.954212652015825859e-04 -1.442730362940763955e-03 -3.736545488695906846e-04
-1.590998565586278346e+03 1.010849679945352488e-03 -1.286174798483591701e-03 -1.376625592691196063e-04
-1.589998535066837576e+03 5.868887491898489483e-05 -1.130949519230772761e-03 -5.361303221558939803e-04
-1.588998504547396806e+03 -9.968948412705689818e-05 -9.752776442308026903e-04 -5.374835641789297604e-04
-1.587998474027955808e+03 -2.585332341270263324e-04 -1.130474417372139039e-03 -6.945038257495827127e-04
-1.586998443508514811e+03 -2.585332341270263324e-04 -5.068082075432588139e-04 -3.826707208351425461e-04
-1.585998412989074041e+03 -4.178811576605364199e-04 1.149195867021825799e-04 -1.514807854791769335e-04
-1.584998382469633270e+03 -5.772484724837260127e-04 5.819447137393349246e-04 2.348120627804455973e-06
-1.583998351950192273e+03 -1.370963048950266366e-03 4.242299007472778521e-04 -4.733665741014942297e-04
-1.582998321430751275e+03 -1.050618942254108413e-03 -4.124639423076653937e-05 -5.459326682424374627e-04
-1.581998290911310505e+03 -2.590761902400700732e-04 -1.969182692307365555e-04 -2.279972297354033008e-04
-1.580998260391869735e+03 -4.162716806112284678e-04 -4.016316199315239389e-05 -2.282174213021904410e-04
-1.579998229872428738e+03 3.774041132758671683e-04 4.252181126131216208e-04 4.013111129444943675e-04
-1.578998199352987740e+03 3.756976797776569394e-04 1.133042403827570462e-04 2.445009600802069928e-04
-1.577998168833546970e+03 -2.591149728195732286e-04 -5.065516525395951080e-04 -3.828333126795841683e-04
-1.576998138314106200e+03 -5.756292997895786061e-04 5.820207300367163418e-04 3.195715123568867826e-06
-1.575998107794665202e+03 6.095765581991858005e-05 8.921957294645633304e-04 4.765766926422409654e-04
-1.574998077275224205e+03 1.011605940245735710e-03 4.257692307691367598e-04 7.186875855074362348e-04
-1.573998046755783434e+03 5.344444733289407338e-04 4.251611003900855851e-04 4.798027868595131865e-04
-1.572998016236342664e+03 5.915426587302274517e-05 -1.981535340631135149e-04 -6.949963409504538489e-05
-1.571997985716901667e+03 5.915426587302274517e-05 -5.082620192306766147e-04 -2.245538766788269212e-04
-1.570997955197460669e+03 -9.968948412705689818e-05 -5.082620192306766147e-04 -3.039757516788667768e-04
-1.569997924678019899e+03 -9.968948412705689818e-05 -3.512978671752227779e-04 -2.254936756511398313e-04
-1.568997894158579129e+03 -9.902048463066359988e-05 1.137698402043243155e-04 7.374677786830357814e-06
-1.567997863639138131e+03 5.711818044910809355e-05 -1.969182692307365555e-04 -6.990004439081423096e-05
-1.566997833119697134e+03 -8.939082341269591466e-04 1.164494146870865453e-04 -3.887294097199362939e-04
-1.565997802600256364e+03 -8.932101476959028929e-04 7.371129807692995955e-04 -7.804858346330164872e-05
-1.564997772080815594e+03 -2.578254520511303531e-04 5.814411057692181776e-04 1.618078268590439123e-04
-1.563997741561374596e+03 -2.585332341270263324e-04 4.243629292676951424e-04 8.291484757033440499e-05
-1.562997711041933599e+03 -9.896231076133664548e-05 -4.195904701875256186e-05 -7.046067889004460367e-05
-1.561997680522492828e+03 5.915426587302274517e-05 -1.976404240558598559e-04 -6.924307909141855536e-05
-1.560997650003052058e+03 2.179980158731023750e-04 -5.082620192306766147e-04 -1.451320016787871199e-04
-1.559997619483611061e+03 5.915426587302274517e-05 -3.503666675323006616e-04 -1.456062008296389446e-04
-1.558997588964170063e+03 -1.004554400721700835e-04 4.250185698324600693e-04 1.622815648801450065e-04
