# time[us], force_in1[N], force_in2[N], force_out1[N], force_out2[N]
-9.994555026551913670e+02 1.001984825225499920e+00 -1.281467058601842401e+00 2.030545341957647665e+01 3.211792860279625295e+00
-9.984554721357503695e+02 6.360081505090809273e+00 -3.014691387932670441e+00 9.587208310310732173e+00 8.614082173133390086e+00
-9.974554416163095993e+02 -3.730350674987382043e+00 1.941656704114846477e+01 -1.824318716441371535e+01 -1.950055931149588861e+00
-9.964554110968688292e+02 2.207218364755092477e+00 -6.132838608000201752e+00 6.172141114143046892e+00 -6.136502518315298360e+00
-9.954553805774278317e+02 -3.536176370833667537e+00 5.820316446022173018e+00 -9.964641270802738759e+00 -8.522854634458205680e+00
-9.944553500579868341e+02 4.767693051740035770e+00 -1.385316952838835114e+01 7.625811813186662569e+00 -7.740419989931955236e+00
-9.934553195385460640e+02 -2.139421181573541997e+00 -4.036712537909095566e+00 2.235619848584296521e-01 5.013492051131121841e+00
-9.924552890191052938e+02 -6.096916323259347514e+00 -3.175996649103235203e+00 1.472692531764159929e+00 4.425897139486011156e+00
-9.914552584996642963e+02 -6.096916323259347514e+00 -1.114158456798632457e+01 1.186643092293382296e+01 -4.337745313818774484e+00
-9.904552279802232988e+02 -8.464410400582012883e+00 -4.653294528390182094e+00 6.397493131863972726e-01 -8.131169268910992898e+00
-9.894551974607825287e+02 -1.261568194826268297e+01 -2.147236898147232509e+00 2.968436813187588452e+00 -5.940191792257743408e+00
-9.884551669413417585e+02 -7.880163262733655749e+00 -2.353325778389005141e+00 5.088319946617232858e+00 -1.754815018313056418e+00
-9.874551364219007610e+02 -1.556102472775174439e+00 -2.146956123106031455e+00 -4.435518700912776779e+00 -1.754815018313056418e+00
-9.864551059024597635e+02 2.984976643153378184e+00 6.433529136004238147e+00 -8.256823391751925811e+00 -1.361391206281464150e+00
-9.854550753830189933e+02 9.308772167670133157e+00 -5.273245819362413656e+00 -3.808394898800950834e+00 1.198078437968824517e+01
-9.844550448635782232e+02 1.345938055173830605e+01 -1.553276582485706392e+01 2.340318027710445836e+00 1.776579937236438411e+01
-9.834550143441372256e+02 8.918036170368459636e+00 -4.653294528390182094e+00 -8.465485617841064681e+00 1.298975197376576673e+01
-9.824549838246962281e+02 3.985159995368707353e+00 -4.860366121276387119e+00 1.478378151007848862e+00 2.232378856430344616e+00
-9.814549533052554580e+02 -1.281144784507342038e+01 -9.253232028385998120e+00 1.440207496324794612e+01 -3.945658768314177056e+00
-9.804549227858146878e+02 -1.478860382326070599e+01 -2.994475584974552795e+00 1.078963399440652005e+00 -8.327346268316418332e+00
-9.794548922663736903e+02 -1.222361962374935729e+01 2.901626569982030190e+01 -2.520366437783643931e+01 -6.136502518315298360e+00
-9.784548617469326928e+02 -1.751072573260211929e+00 -3.183858350264026082e+00 2.392662431318507288e+01 -3.747877049077219080e+00
-9.774548312274919226e+02 -6.489509178658348532e+00 1.193284154545168452e+00 -3.161513569833299009e+00 6.339441775737572060e-01
-9.764548007080511525e+02 -1.063918913368171637e+01 1.061483104957587464e+01 -2.544055320430973044e+00 4.817716231684078920e+00
-9.754547701886101549e+02 -1.952757095954423860e+01 3.078828943733483925e+00 1.283219270610078455e+00 2.378458324908894750e-01
-9.744547396691691574e+02 -2.545651887239302980e+01 1.312187139245610012e+01 -1.439629718699550409e+01 -3.945658768314177056e+00
-9.734547091497283873e+02 -1.893762061467466751e+01 -2.561660858957119924e+00 4.664314891834189680e+00 -3.548758063315261779e+00
-9.724546786302876171e+02 -1.459164423195488780e+01 7.471975625886518202e+00 -1.587214180107934069e+01 9.199403731686320640e+00
-9.714546481108466196e+02 -7.875653750204436143e+00 8.729286260388736451e+00 -5.290209413081993439e+00 4.420280620074652944e+00
-9.704546175914056221e+02 -3.923994448258235845e+00 2.037855478479639437e+00 7.203086022732264837e+00 -4.144510300772156874e+00
-9.694545870719648519e+02 -6.294273812730196482e+00 4.755477102265041722e+00 -6.980828293933675432e+00 -3.746673509204067276e+00
-9.684545565525240818e+02 -3.529014203878057643e+00 1.828537685265620771e+00 -1.015709948206049162e+01 -4.343896739838656096e+00
-9.674545260330830843e+02 2.594771176738923657e+00 -6.953263278388090107e+00 5.085334996515992856e+00 -8.128093555901054756e+00
-9.664544955136420867e+02 2.240939141024942127e-01 -6.743945485171979115e+00 2.756505356036293986e+00 -3.746272329245686095e+00
-9.654544649942013166e+02 -6.096916323259347514e+00 4.965496833083334671e+00 -9.099147882074952065e+00 3.225432978847650123e+00
-9.644544344747605464e+02 -1.553051920183045276e+00 4.127383335099021444e+00 -1.057925671058882600e+01 1.119059358931469106e+01
-9.634544039553195489e+02 2.792924462538284303e+00 -4.443555572609523274e+00 -4.229983565406400636e+00 4.617928612658202425e+00
-9.624543734358785514e+02 -2.345930328823749633e+00 4.336701128316010845e+00 -1.142868822496311942e+01 2.626872481682958504e+00
-9.614543429164377812e+02 -7.873001095776345437e+00 1.566627024307623017e-01 -1.523577886770092249e+01 2.626872481682958504e+00
-9.604543123969970111e+02 6.204004857009342011e-01 -6.838373834035365029e-01 -3.804841386776522061e+00 6.362175306682122944e-01
-9.594542818775560136e+02 -1.742021483139221949e-01 1.418746512629821543e+00 -1.715154827043510011e+01 9.399726257322708278e+00
-9.584542513581150160e+02 -5.301650525631840694e+00 9.131636894422637596e+00 -2.517381487682370889e+01 8.998947479396807836e+00
-9.574542208386742459e+02 6.343767680357814243e+00 -2.890004437388567737e+01 6.133336762829766364e+00 4.416536273801078494e+00
-9.564541903192334757e+02 -7.871674768563148739e+00 1.041084798213617013e+01 -2.666444210093466793e+01 1.038199848465982900e+00
-9.554541597997924782e+02 7.339043621882282764e+00 1.583556216566840469e+01 8.532443156280132834e-01 1.338023379943855140e+01
-9.544541292803514807e+02 1.108711169644794481e+01 2.566830410853540911e+01 -8.888637829734880924e+00 9.400394890586344587e+00
-9.534540987609107106e+02 1.168541790276709058e+01 2.231290197866097458e+01 -8.338210532007426234e-01 8.797153960582013710e+00
-9.524540682414699404e+02 1.740599981027187226e+01 1.898024262712189980e+01 -6.437792301172692300e-01 2.224355257274677200e+00
-9.514540377220289429e+02 8.913791923285875995e+00 2.503487561558743835e+01 -1.756162355808238829e+01 -8.125953929459010183e+00
-9.504540072025879454e+02 2.195016154382615436e+00 1.268863550388468653e+01 -1.260526777120638986e+00 8.390808627057351199e-01
-9.494539766831471752e+02 -1.751072573260211929e+00 3.700517337434683918e-01 -2.117633877466553738e+00 2.223552897361028347e+00
-9.484539461637064051e+02 -3.923994448258235845e+00 1.102279718444006384e+01 -9.103980658430737449e+00 -1.956608537127851211e+00
-9.474539156442654075e+02 -3.923994448258235845e+00 -2.565310934496005668e+00 -1.268847930794591505e+01 -3.743731522846256432e+00
-9.464538851248244100e+02 8.226653858685559761e-01 -4.865420072018004305e+00 1.284072113499161949e+00 4.360287316849509320e-01
-9.454538546053836399e+02 6.940614926741146995e+00 -3.804230803794709903e+00 4.652375091434644006e+00 -1.957009717086232170e+00
-9.444538240859428697e+02 6.739941619235327863e+00 9.358924290278620717e+00 -4.017625686812675845e+00 -6.136502518315298360e+00
-9.434537935665018722e+02 2.594771176738923657e+00 8.721424559235105178e+00 -1.473737498598031603e+00 -6.136502518315298360e+00
-9.424537630470608747e+02 2.795709749688568557e+00 5.184641752745499765e+00 -5.309682658981878411e+00 -8.732538025779245316e+00
-9.414537325276201045e+02 -2.555357395942203347e+00 2.064636172160968641e+01 -2.156970084093576290e+01 -1.510260712369723990e+01
-9.404537020081793344e+02 -1.478860382326070599e+01 1.246864825910624219e+01 -1.257683967500025313e+00 -1.648213127220751062e+01
-9.394536714887383368e+02 -7.867165256033646692e+00 -1.070076775330055696e+01 9.738730063047452035e+00 -6.136502518315298360e+00
