# time[us], force_in1[N], force_in2[N], force_out1[N], force_out2[N]
-9.994555026551913670e+02 -5.131667846863493532e-01 -2.030450319598735565e+00 1.691545740920359364e+01 1.620942588940731843e+00
-9.984554721357503695e+02 -7.871471009721051182e+00 9.683877484375472022e+00 -1.131659863669721844e+01 6.080726454075601417e+00
-9.974554416163095993e+02 -2.019556181469487122e+00 -3.357483259159233513e-01 7.146994993894703718e+00 8.397460474859146373e+00
-9.964554110968688292e+02 -6.924579484970894150e+00 6.483120384851411844e-01 -1.494146518281113778e+01 2.419290705128172903e+00
-9.954553805774278317e+02 4.607464270751964186e+00 -4.098695428095004978e+00 -9.304173706893090312e+00 1.073733126388201287e+00
-9.944553500579868341e+02 5.181870060670028977e+00 -8.813863005001975282e+00 4.767970707403587083e-01 -9.927691131989949014e+00
-9.934553195385460640e+02 -4.627274643823821698e+00 7.351198442075014050e+00 -1.183131774644592937e+01 -5.076195155977858420e+00
-9.924552890191052938e+02 -5.821605773655017302e+00 -7.944695787459272296e+00 4.935630246899534335e+00 2.576018342007448947e+00
-9.914552584996642963e+02 8.318740028397394681e+00 -1.758566837718885978e+01 1.045613910364271959e+01 3.936713777825722183e+00
-9.904552279802232988e+02 1.599912955412454529e+01 -6.710240241315426069e+00 -8.886612458063511966e-01 -1.648513595823213995e+00
-9.894551974607825287e+02 1.093966870980514017e+01 2.377066182333608113e-01 -8.187290663494058762e+00 7.912888576397326013e+00
-9.884551669413417585e+02 6.437848879417481740e+00 -3.949828501251277046e+00 3.504616740522475737e+00 1.014917264296078692e+01
-9.874551364219007610e+02 -1.942098672161435502e+00 8.092781480895585133e+00 -1.057012431485090165e+00 5.767378161638025524e+00
-9.864551059024597635e+02 2.559827264404577640e+00 1.479213011896525032e+01 -1.910157592413009198e+01 1.947182130690150892e+00
-9.854550753830189933e+02 2.960537242353879162e+00 -4.237993788368089598e-01 -1.098035111487669546e+01 -6.186607788737640057e+00
-9.844550448635782232e+02 3.068042621753948318e-02 -7.711596348257105049e+00 -9.441822548677741622e+00 -2.838734294871636976e+00
-9.834550143441372256e+02 2.881912565097344281e+00 -3.359807829670170332e+00 -2.520321192333637583e+01 -2.917579529260916349e+00
-9.824549838246962281e+02 -2.576507505249969299e+00 -8.125402603979187788e+00 -1.165921405206572636e+01 -6.580780470023263717e+00
-9.814549533052554580e+02 -4.714845471024271123e-02 -4.031140953182293707e+00 -1.571958966002165337e+00 -1.072577179487154631e+01
-9.804549227858146878e+02 7.219745298722295423e+00 -1.768655671181833533e+00 -3.442868832939228962e+00 -8.736079675755004104e+00
-9.794548922663736903e+02 1.244170775332574941e+01 -4.618803114416677680e+00 -9.770726249783728834e-01 -2.601556703771185752e+00
-9.784548617469326928e+02 5.958885595830243354e+00 3.418719370017399672e+00 3.614358563778706235e-01 2.656628768212410119e+00
-9.774548312274919226e+02 5.801901506759110205e+00 -4.784235768692413515e+00 2.104082901696764196e+01 3.934467170061576535e+00
-9.764548007080511525e+02 6.828160452006887482e+00 5.756901603126451050e+00 -3.272868817680365527e+00 2.894608719226869020e+00
-9.754547701886101549e+02 8.487926327838959395e+00 -1.013260721851819390e+01 2.484962534547891622e+01 1.102411938577296446e+01
-9.744547396691691574e+02 7.477990243823723349e-01 1.906352688093772896e+00 -1.063534773942634892e+01 4.572343303094607236e+00
-9.734547091497283873e+02 -7.553895221556991224e+00 2.413432412501851587e+00 6.974891299516343679e+00 -3.873832076871155827e+00
-9.724546786302876171e+02 -1.230497595205926498e+00 -2.359125582831669288e+00 1.732466079781439072e+00 -7.458722689853858334e+00
-9.714546481108466196e+02 -3.680436172160858277e+00 1.361927661685999880e+01 -2.401622519471539619e+01 -1.056679755022776135e+01
-9.704546175914056221e+02 -4.628494864861104396e+00 -8.503528214303784916e-01 -3.185253425196323374e+00 -8.017218681888692799e+00
-9.694545870719648519e+02 -5.497716667949728908e+00 -1.493476383977385830e-02 2.828880893913550576e+00 -6.184896087584005109e+00
-9.684545565525240818e+02 -5.102789476654376877e+00 1.428718428486895142e+01 -7.417969524203847698e+00 -6.423731889176486298e+00
-9.674545260330830843e+02 6.654075778386634443e-01 1.094163735894009015e+01 3.421094993895114289e+00 -6.078527850748262074e-01
-9.664544955136420867e+02 -2.969471732269720832e+00 6.091248522189236958e+00 2.404847411034337856e+00 7.040241932010155246e+00
-9.654544649942013166e+02 -3.522125755875737951e+00 1.244754621491880897e+01 -7.503765518526257061e+00 1.102304957255194218e+01
-9.644544344747605464e+02 -1.245529109303110255e-01 1.386843638842256610e+01 -1.385249852988081365e+01 4.409410749535798146e+00
-9.634544039553195489e+02 1.772360270797687543e+00 5.420589258775466490e+00 -3.019053402932801999e-01 -8.813266699651101987e+00
-9.624543734358785514e+02 7.539443210430209596e+00 -3.479901177119693045e-01 1.053289496337491116e+01 -9.261222183287276533e-01
-9.614543429164377812e+02 6.828956248335595447e+00 6.844062562657324378e+00 5.198988130072645042e+00 3.615716320857724320e+00
-9.604543123969970111e+02 7.698178051423869128e+00 4.415695386317390891e+00 1.045210231398133871e+01 8.713804244314820480e+00
-9.594542818775560136e+02 8.408452801164610690e+00 -1.099231817950789614e+00 9.260055384238611964e+00 1.014607018461942545e+01
-9.584542513581150160e+02 1.212365448736445828e+01 5.840067170330041080e+00 6.266699938950082149e-01 8.633835706044067138e+00
-9.574542208386742459e+02 8.249187429285626649e+00 8.852727207410994836e+00 -1.072825075779867277e+01 7.516843721975122072e+00
